Entity,Day,daily_vaccinations
Alabama,13/01/2021,5906
Alabama,14/01/2021,7083
Alabama,15/01/2021,7478
Alabama,16/01/2021,7498
Alabama,17/01/2021,7509
Alabama,18/01/2021,7517
Alabama,19/01/2021,7523
Alabama,20/01/2021,7880
Alabama,21/01/2021,10517
Alabama,22/01/2021,14107
Alabama,23/01/2021,16202
Alabama,24/01/2021,18294
Alabama,25/01/2021,18196
Alabama,26/01/2021,17738
Alabama,27/01/2021,18178
Alabama,28/01/2021,16153
Alabama,29/01/2021,14514
Alabama,30/01/2021,17271
Alabama,31/01/2021,15748
Alabama,01/02/2021,15381
Alabama,02/02/2021,16703
Alabama,03/02/2021,17414
Alabama,04/02/2021,18491
Alabama,05/02/2021,18526
Alabama,06/02/2021,16105
Alabama,07/02/2021,15480
Alabama,08/02/2021,15622
Alabama,09/02/2021,17012
Alabama,10/02/2021,18209
Alabama,11/02/2021,19258
Alabama,12/02/2021,20074
Alabama,13/02/2021,20855
Alabama,14/02/2021,21417
Alabama,15/02/2021,22405
Alabama,16/02/2021,20816
Alabama,17/02/2021,19174
Alabama,18/02/2021,18400
Alabama,19/02/2021,24002
Alabama,20/02/2021,25111
Alabama,21/02/2021,25194
Alabama,22/02/2021,24164
Alabama,23/02/2021,25489
Alabama,24/02/2021,27098
Alabama,25/02/2021,27531
Alabama,26/02/2021,22104
Alabama,27/02/2021,22022
Alabama,28/02/2021,21984
Alabama,01/03/2021,22111
Alabama,02/03/2021,22436
Alabama,03/03/2021,22904
Alabama,04/03/2021,23916
Alabama,05/03/2021,24388
Alabama,06/03/2021,24087
Alabama,07/03/2021,23947
Alabama,08/03/2021,24040
Alabama,09/03/2021,24118
Alabama,10/03/2021,24827
Alabama,11/03/2021,25376
Alabama,12/03/2021,26375
Alabama,13/03/2021,26935
Alabama,14/03/2021,26926
Alabama,15/03/2021,27106
Alabama,16/03/2021,27331
Alaska,13/01/2021,2842
Alaska,14/01/2021,3379
Alaska,15/01/2021,4400
Alaska,16/01/2021,4381
Alaska,17/01/2021,4369
Alaska,18/01/2021,4362
Alaska,19/01/2021,4356
Alaska,20/01/2021,4230
Alaska,21/01/2021,4187
Alaska,22/01/2021,4580
Alaska,23/01/2021,4997
Alaska,24/01/2021,5225
Alaska,25/01/2021,5003
Alaska,26/01/2021,4545
Alaska,27/01/2021,4758
Alaska,28/01/2021,4850
Alaska,29/01/2021,4186
Alaska,30/01/2021,3846
Alaska,31/01/2021,3619
Alaska,01/02/2021,3570
Alaska,02/02/2021,3613
Alaska,03/02/2021,3453
Alaska,04/02/2021,3440
Alaska,05/02/2021,3372
Alaska,06/02/2021,3411
Alaska,07/02/2021,3785
Alaska,08/02/2021,4131
Alaska,09/02/2021,4204
Alaska,10/02/2021,4356
Alaska,11/02/2021,4620
Alaska,12/02/2021,4776
Alaska,13/02/2021,5142
Alaska,14/02/2021,5393
Alaska,15/02/2021,5212
Alaska,16/02/2021,5448
Alaska,17/02/2021,5337
Alaska,18/02/2021,5268
Alaska,19/02/2021,6970
Alaska,20/02/2021,7466
Alaska,21/02/2021,7330
Alaska,22/02/2021,7266
Alaska,23/02/2021,6988
Alaska,24/02/2021,7148
Alaska,25/02/2021,7201
Alaska,26/02/2021,5444
Alaska,27/02/2021,4591
Alaska,28/02/2021,4229
Alaska,01/03/2021,4304
Alaska,02/03/2021,4288
Alaska,03/03/2021,4243
Alaska,04/03/2021,3905
Alaska,05/03/2021,3876
Alaska,06/03/2021,4155
Alaska,07/03/2021,4329
Alaska,08/03/2021,4248
Alaska,09/03/2021,4678
Alaska,10/03/2021,4917
Alaska,11/03/2021,5211
Alaska,12/03/2021,5294
Alaska,13/03/2021,5092
Alaska,14/03/2021,5473
Alaska,15/03/2021,5571
Alaska,16/03/2021,5280
Arizona,13/01/2021,13390
Arizona,14/01/2021,16155
Arizona,15/01/2021,18577
Arizona,16/01/2021,18257
Arizona,17/01/2021,18065
Arizona,18/01/2021,17937
Arizona,19/01/2021,17846
Arizona,20/01/2021,18163
Arizona,21/01/2021,18605
Arizona,22/01/2021,18895
Arizona,23/01/2021,20939
Arizona,24/01/2021,22706
Arizona,25/01/2021,23526
Arizona,26/01/2021,23517
Arizona,27/01/2021,25196
Arizona,28/01/2021,26179
Arizona,29/01/2021,27393
Arizona,30/01/2021,28059
Arizona,31/01/2021,29069
Arizona,01/02/2021,29564
Arizona,02/02/2021,28681
Arizona,03/02/2021,28255
Arizona,04/02/2021,28424
Arizona,05/02/2021,28337
Arizona,06/02/2021,29917
Arizona,07/02/2021,30732
Arizona,08/02/2021,31487
Arizona,09/02/2021,33164
Arizona,10/02/2021,34531
Arizona,11/02/2021,36494
Arizona,12/02/2021,38691
Arizona,13/02/2021,39176
Arizona,14/02/2021,39989
Arizona,15/02/2021,40122
Arizona,16/02/2021,41539
Arizona,17/02/2021,38163
Arizona,18/02/2021,37314
Arizona,19/02/2021,55158
Arizona,20/02/2021,54896
Arizona,21/02/2021,54360
Arizona,22/02/2021,54958
Arizona,23/02/2021,53030
Arizona,24/02/2021,55863
Arizona,25/02/2021,57825
Arizona,26/02/2021,42127
Arizona,27/02/2021,43278
Arizona,28/02/2021,46110
Arizona,01/03/2021,48955
Arizona,02/03/2021,51993
Arizona,03/03/2021,53580
Arizona,04/03/2021,53198
Arizona,05/03/2021,52476
Arizona,06/03/2021,45071
Arizona,07/03/2021,52879
Arizona,08/03/2021,52280
Arizona,09/03/2021,50873
Arizona,10/03/2021,51794
Arizona,11/03/2021,52921
Arizona,12/03/2021,54235
Arizona,13/03/2021,62981
Arizona,14/03/2021,56433
Arizona,15/03/2021,55772
Arizona,16/03/2021,58490
Arkansas,13/01/2021,53975
Arkansas,14/01/2021,33718
Arkansas,15/01/2021,25820
Arkansas,16/01/2021,20865
Arkansas,17/01/2021,17892
Arkansas,18/01/2021,15910
Arkansas,19/01/2021,14494
Arkansas,20/01/2021,11208
Arkansas,21/01/2021,9285
Arkansas,22/01/2021,11905
Arkansas,23/01/2021,11048
Arkansas,24/01/2021,11986
Arkansas,25/01/2021,12108
Arkansas,26/01/2021,13422
Arkansas,27/01/2021,11359
Arkansas,28/01/2021,11359
Arkansas,29/01/2021,9760
Arkansas,30/01/2021,12425
Arkansas,31/01/2021,12793
Arkansas,01/02/2021,12876
Arkansas,02/02/2021,11169
Arkansas,03/02/2021,9946
Arkansas,04/02/2021,12200
Arkansas,05/02/2021,11597
Arkansas,06/02/2021,12289
Arkansas,07/02/2021,12807
Arkansas,08/02/2021,12919
Arkansas,09/02/2021,12808
Arkansas,10/02/2021,13658
Arkansas,11/02/2021,13225
Arkansas,12/02/2021,13710
Arkansas,13/02/2021,11816
Arkansas,14/02/2021,11299
Arkansas,15/02/2021,10903
Arkansas,16/02/2021,11330
Arkansas,17/02/2021,9842
Arkansas,18/02/2021,8562
Arkansas,19/02/2021,10018
Arkansas,20/02/2021,9074
Arkansas,21/02/2021,7990
Arkansas,22/02/2021,8204
Arkansas,23/02/2021,8108
Arkansas,24/02/2021,9645
Arkansas,25/02/2021,11688
Arkansas,26/02/2021,11531
Arkansas,27/02/2021,14537
Arkansas,28/02/2021,17263
Arkansas,01/03/2021,18023
Arkansas,02/03/2021,18660
Arkansas,03/03/2021,18995
Arkansas,04/03/2021,18831
Arkansas,05/03/2021,17967
Arkansas,06/03/2021,17353
Arkansas,07/03/2021,16564
Arkansas,08/03/2021,15969
Arkansas,09/03/2021,15991
Arkansas,10/03/2021,15964
Arkansas,11/03/2021,13675
Arkansas,12/03/2021,16122
Arkansas,13/03/2021,19784
Arkansas,14/03/2021,16767
Arkansas,15/03/2021,17033
Arkansas,16/03/2021,16330
California,13/01/2021,75188
California,14/01/2021,79496
California,15/01/2021,85553
California,16/01/2021,88381
California,17/01/2021,90079
California,18/01/2021,91210
California,19/01/2021,92018
California,20/01/2021,91549
California,21/01/2021,94083
California,22/01/2021,104389
California,23/01/2021,119770
California,24/01/2021,133316
California,25/01/2021,138153
California,26/01/2021,140878
California,27/01/2021,149620
California,28/01/2021,159000
California,29/01/2021,158126
California,30/01/2021,155366
California,31/01/2021,155063
California,01/02/2021,160379
California,02/02/2021,156749
California,03/02/2021,155950
California,04/02/2021,139561
California,05/02/2021,144296
California,06/02/2021,148831
California,07/02/2021,171402
