Code,State,Day,Vaccinated
AL,Alabama,13/01/2021,5906
AL,Alabama,14/01/2021,7083
AL,Alabama,15/01/2021,7478
AL,Alabama,16/01/2021,7498
AL,Alabama,17/01/2021,7509
AL,Alabama,18/01/2021,7517
AL,Alabama,19/01/2021,7523
AL,Alabama,20/01/2021,7880
AL,Alabama,21/01/2021,10517
AL,Alabama,22/01/2021,14107
AL,Alabama,23/01/2021,16202
AL,Alabama,24/01/2021,18294
AL,Alabama,25/01/2021,18196
AL,Alabama,26/01/2021,17738
AL,Alabama,27/01/2021,18178
AL,Alabama,28/01/2021,16153
AL,Alabama,29/01/2021,14514
AL,Alabama,30/01/2021,17271
AL,Alabama,31/01/2021,15748
AL,Alabama,01/02/2021,15381
AL,Alabama,02/02/2021,16703
AL,Alabama,03/02/2021,17414
AL,Alabama,04/02/2021,18491
AL,Alabama,05/02/2021,18526
AL,Alabama,06/02/2021,16105
AL,Alabama,07/02/2021,15480
AL,Alabama,08/02/2021,15622
AL,Alabama,09/02/2021,17012
AL,Alabama,10/02/2021,18209
AL,Alabama,11/02/2021,19258
AL,Alabama,12/02/2021,20074
AL,Alabama,13/02/2021,20855
AL,Alabama,14/02/2021,21417
AL,Alabama,15/02/2021,22405
AL,Alabama,16/02/2021,20816
AL,Alabama,17/02/2021,19174
AL,Alabama,18/02/2021,18400
AL,Alabama,19/02/2021,24002
AL,Alabama,20/02/2021,25111
AL,Alabama,21/02/2021,25194
AL,Alabama,22/02/2021,24164
AL,Alabama,23/02/2021,25489
AL,Alabama,24/02/2021,27098
AL,Alabama,25/02/2021,27531
AL,Alabama,26/02/2021,22104
AL,Alabama,27/02/2021,22022
AL,Alabama,28/02/2021,21984
AL,Alabama,01/03/2021,22111
AL,Alabama,02/03/2021,22436
AL,Alabama,03/03/2021,22904
AL,Alabama,04/03/2021,23916
AL,Alabama,05/03/2021,24388
AL,Alabama,06/03/2021,24087
AL,Alabama,07/03/2021,23947
AL,Alabama,08/03/2021,24040
AL,Alabama,09/03/2021,24118
AL,Alabama,10/03/2021,24827
AL,Alabama,11/03/2021,25376
AL,Alabama,12/03/2021,26375
AL,Alabama,13/03/2021,26935
AL,Alabama,14/03/2021,26926
AL,Alabama,15/03/2021,27106
AL,Alabama,16/03/2021,27331
AK,Alaska,13/01/2021,2842
AK,Alaska,14/01/2021,3379
AK,Alaska,15/01/2021,4400
AK,Alaska,16/01/2021,4381
AK,Alaska,17/01/2021,4369
AK,Alaska,18/01/2021,4362
AK,Alaska,19/01/2021,4356
AK,Alaska,20/01/2021,4230
AK,Alaska,21/01/2021,4187
AK,Alaska,22/01/2021,4580
AK,Alaska,23/01/2021,4997
AK,Alaska,24/01/2021,5225
AK,Alaska,25/01/2021,5003
AK,Alaska,26/01/2021,4545
AK,Alaska,27/01/2021,4758
AK,Alaska,28/01/2021,4850
AK,Alaska,29/01/2021,4186
AK,Alaska,30/01/2021,3846
AK,Alaska,31/01/2021,3619
AK,Alaska,01/02/2021,3570
AK,Alaska,02/02/2021,3613
AK,Alaska,03/02/2021,3453
AK,Alaska,04/02/2021,3440
AK,Alaska,05/02/2021,3372
AK,Alaska,06/02/2021,3411
AK,Alaska,07/02/2021,3785
AK,Alaska,08/02/2021,4131
AK,Alaska,09/02/2021,4204
AK,Alaska,10/02/2021,4356
AK,Alaska,11/02/2021,4620
AK,Alaska,12/02/2021,4776
AK,Alaska,13/02/2021,5142
AK,Alaska,14/02/2021,5393
AK,Alaska,15/02/2021,5212
AK,Alaska,16/02/2021,5448
AK,Alaska,17/02/2021,5337
AK,Alaska,18/02/2021,5268
AK,Alaska,19/02/2021,6970
AK,Alaska,20/02/2021,7466
AK,Alaska,21/02/2021,7330
AK,Alaska,22/02/2021,7266
AK,Alaska,23/02/2021,6988
AK,Alaska,24/02/2021,7148
AK,Alaska,25/02/2021,7201
AK,Alaska,26/02/2021,5444
AK,Alaska,27/02/2021,4591
AK,Alaska,28/02/2021,4229
AK,Alaska,01/03/2021,4304
AK,Alaska,02/03/2021,4288
AK,Alaska,03/03/2021,4243
AK,Alaska,04/03/2021,3905
AK,Alaska,05/03/2021,3876
AK,Alaska,06/03/2021,4155
AK,Alaska,07/03/2021,4329
AK,Alaska,08/03/2021,4248
AK,Alaska,09/03/2021,4678
AK,Alaska,10/03/2021,4917
AK,Alaska,11/03/2021,5211
AK,Alaska,12/03/2021,5294
AK,Alaska,13/03/2021,5092
AK,Alaska,14/03/2021,5473
AK,Alaska,15/03/2021,5571
AK,Alaska,16/03/2021,5280
AZ,Arizona,13/01/2021,13390
AZ,Arizona,14/01/2021,16155
AZ,Arizona,15/01/2021,18577
AZ,Arizona,16/01/2021,18257
AZ,Arizona,17/01/2021,18065
AZ,Arizona,18/01/2021,17937
AZ,Arizona,19/01/2021,17846
AZ,Arizona,20/01/2021,18163
AZ,Arizona,21/01/2021,18605
AZ,Arizona,22/01/2021,18895
AZ,Arizona,23/01/2021,20939
AZ,Arizona,24/01/2021,22706
AZ,Arizona,25/01/2021,23526
AZ,Arizona,26/01/2021,23517
AZ,Arizona,27/01/2021,25196
AZ,Arizona,28/01/2021,26179
AZ,Arizona,29/01/2021,27393
AZ,Arizona,30/01/2021,28059
AZ,Arizona,31/01/2021,29069
AZ,Arizona,01/02/2021,29564
AZ,Arizona,02/02/2021,28681
AZ,Arizona,03/02/2021,28255
AZ,Arizona,04/02/2021,28424
AZ,Arizona,05/02/2021,28337
AZ,Arizona,06/02/2021,29917
AZ,Arizona,07/02/2021,30732
AZ,Arizona,08/02/2021,31487
AZ,Arizona,09/02/2021,33164
AZ,Arizona,10/02/2021,34531
AZ,Arizona,11/02/2021,36494
AZ,Arizona,12/02/2021,38691
AZ,Arizona,13/02/2021,39176
AZ,Arizona,14/02/2021,39989
AZ,Arizona,15/02/2021,40122
AZ,Arizona,16/02/2021,41539
AZ,Arizona,17/02/2021,38163
AZ,Arizona,18/02/2021,37314
AZ,Arizona,19/02/2021,55158
AZ,Arizona,20/02/2021,54896
AZ,Arizona,21/02/2021,54360
AZ,Arizona,22/02/2021,54958
AZ,Arizona,23/02/2021,53030
